"Molecule","Potency","pIC50","Outcome","is_active"
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])C([H])=NS1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",51.0900009516602,4.2916640892280755,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])N1N=NC([H])=C1C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",28.4188225697659,4.546393919443255,"Inactive",0
"[H]Oc1c([H])c([H])c(oc1=O)C(=O)N(C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])(C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H])C1=C([H])C([H])=C([H])N=C1[H]",76.4583333075356,4.116575173270032,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])N1C(=O)C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",76.6101308203456,4.11571379605341,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC(=N1)C([H])([H])S(=O)(=O)C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",39.2414620334616,4.406254820322765,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=NC([H])=C(O1)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",32.434483068324,4.488993019341999,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])N1C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",61.0432085404329,4.21436264715699,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=NOC(=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",51.2490629731775,4.290314070746327,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=NSN=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",13.1737877164944,4.880289339095346,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C1([H])C([H])([H])C(=O)N([H])C(=O)C1([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",53.7666366521782,4.269487129769579,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])N1C([H])([H])C([H])([H])C([H])([H])S1(=O)=O)C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(F)=C1[H]",27.8339708498058,4.555424831928922,"Inactive",0
